Title,Price,Importé neuf,Kilométrage,Année,Boite de vitesses,Carburant,Date,Puissance fiscale,Nombre de portes,Couleur,Carrosserie,Véhicule dédouané,Première main,Véhicule en garantie
OPEL Astra,117 000 Dhs,,179000.0,2016.0,Manuelle,Diesel,05-12-2024,8.0,5.0,Bleu,Coupé,2016,,
VOLKSWAGEN Touareg,79 000 Dhs,,189000.0,2009.0,Automatique,Diesel,05-12-2024,10.0,5.0,Grisclair,Suvet4x4,2009,,
VOLVO S60,59 000 Dhs,,199000.0,2009.0,Automatique,Diesel,05-12-2024,8.0,5.0,Gris,Berline,2009,Oui,
CHEVROLET Captiva,78 000 Dhs,,199000.0,2008.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Berline,2008,,
OPEL Astra,74 000 Dhs,,249000.0,2009.0,Manuelle,Diesel,05-12-2024,7.0,5.0,Blanc,Coupé,2009,Oui,
PORSCHE Cayenne,850 000 Dhs,Oui,130000.0,2020.0,Automatique,Hybride,05-12-2024,,,Blanc,,,Oui,
VOLVO V40,155 000 Dhs,,182000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,,,Oui,
FIAT Punto,37 000 Dhs,,180000.0,2012.0,Manuelle,Essence,05-12-2024,6.0,5.0,Noir,Cabriolet,,,
MASERATI Ghibli,,,119000.0,2014.0,Automatique,Diesel,05-12-2024,11.0,5.0,,,2014,,
ALFA-ROMEO Autre,308 000 Dhs,,9000.0,2023.0,Automatique,Hybride,05-12-2024,8.0,5.0,,,2023,Oui,
SSANGYONG Stavic,58 000 Dhs,,299000.0,2015.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,2015,,
FIAT 500,148 000 Dhs,,54000.0,2021.0,Automatique,Essence,05-12-2024,7.0,3.0,,,2021,Oui,
PEUGEOT 3008,307 000 Dhs,,19000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
BMW Serie 1,305 000 Dhs,,19000.0,2020.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2020,Oui,
ALFA-ROMEO Stelvio,699 000 Dhs,,64000.0,2022.0,Automatique,Essence,05-12-2024,17.0,5.0,,,2022,Oui,
DS Autre,310 000 Dhs,,34000.0,2023.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2023,Oui,
JEEP Renegade,249 000 Dhs,,14000.0,2023.0,Automatique,Hybride,05-12-2024,8.0,5.0,,,2023,Oui,
OPEL Astra,272 000 Dhs,,34000.0,2022.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2022,Oui,
CITROEN C3 aircross,169 900 Dhs,,39000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2020,Oui,
FIAT 500,167 000 Dhs,,24000.0,2024.0,Automatique,Essence,05-12-2024,7.0,3.0,,,2024,,
JEEP Compass,243 000 Dhs,,39000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2021,Oui,
BMW Serie 3,68 000 Dhs,,169000.0,2008.0,Automatique,Essence,05-12-2024,11.0,5.0,,,2008,,
MERCEDES Vito,109 000 Dhs,,249000.0,2006.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,2006,Oui,
JAGUAR Xe,190 000 Dhs,,200400.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,Bleu,Berline,,,
FORD Focus 5p,122 000 Dhs,,141028.0,2012.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Rouge,Berline,,,
DACIA Dokker,165 000 Dhs,,60000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Noir,Cabriolet,,Oui,
BMW Serie 1,460 000 Dhs,Oui,45000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,,Grisfonce,,,Oui,
VOLKSWAGEN Golf 8,,Oui,19000.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2024,Oui,
DACIA Dokker,149 000 Dhs,,54000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,,,,2021,,
BMW Serie 3,326 500 Dhs,,149000.0,2020.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Berline,2020,Oui,
JAGUAR F-pace,315 000 Dhs,,109000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2018,Oui,
FIAT 500,135 000 Dhs,,54000.0,2022.0,Automatique,Essence,05-12-2024,7.0,3.0,,,2022,Oui,
BMW Serie 5,600 000 Dhs,,4000.0,2024.0,Automatique,Hybride,05-12-2024,11.0,5.0,,,2024,Oui,
BMW X1,230 000 Dhs,,129000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2016,Oui,
LAND-ROVER Range rover sport,,Oui,59000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
AUDI Q3 sportback,,Oui,1.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,,,
MERCEDES Classe e,,Oui,4000.0,2024.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2024,,
AUDI Q3,,Oui,14000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,,,
AUDI A3 sportback,,Oui,1.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,,,
JEEP Wrangler,,,49000.0,2015.0,Automatique,Diesel,05-12-2024,11.0,5.0,,,2015,Oui,
LEXUS Lx,,Oui,159000.0,2000.0,Automatique,Essence,05-12-2024,26.0,5.0,,,2000,,
JEEP Wrangler,,,79000.0,2021.0,Automatique,Diesel,05-12-2024,10.0,5.0,,,2021,Oui,
JEEP Grand cherokee,,,129000.0,2017.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2017,,
LEXUS Ls,,Oui,64000.0,2010.0,Automatique,Essence,05-12-2024,21.0,5.0,,,2010,Oui,
HYUNDAI Tucson,,,44000.0,2023.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2023,Oui,
AUDI A4,,,119000.0,2018.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2018,Oui,
VOLKSWAGEN Touareg,,,4000.0,2024.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2024,Oui,
HYUNDAI Santa fe,,,44000.0,2023.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2023,Oui,
LAND-ROVER Range rover sport,,,84000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
VOLKSWAGEN Tiguan,,,94000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,,,,2021,,
AUDI Autre,,,169000.0,2014.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2014,Oui,
VOLKSWAGEN Tiguan,,,159000.0,2017.0,Automatique,Diesel,05-12-2024,8.0,,,,2017,,
MERCEDES Classe a,,,109000.0,2020.0,Automatique,Diesel,05-12-2024,8.0,,,,2020,,
AUDI Q2,,,149000.0,2020.0,Automatique,Diesel,05-12-2024,6.0,,,,2020,,
MERCEDES Classe e,490 000 Dhs,,79000.0,2018.0,,Diesel,05-12-2024,8.0,,,,2018,,
OPEL Corsa,117 000 Dhs,,64000.0,2016.0,,Essence,05-12-2024,6.0,,,,2016,,
VOLKSWAGEN Caddy,134 000 Dhs,,249000.0,2016.0,,Diesel,05-12-2024,8.0,,,,2016,,
RENAULT Autre,310 000 Dhs,,14000.0,2024.0,Automatique,Hybride,05-12-2024,9.0,,,,2024,,
HYUNDAI Santa fe,305 000 Dhs,,89000.0,2021.0,,Diesel,05-12-2024,9.0,,,,2021,,
AUDI Rs6,,Oui,49000.0,2021.0,Automatique,Essence,05-12-2024,23.0,5.0,,,2021,Oui,
MERCEDES Classe c coupe,,Oui,29000.0,2019.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2019,Oui,
LAND-ROVER Range rover sport,,Oui,99000.0,2018.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2018,Oui,
LAND-ROVER Range rover sport,,Oui,44000.0,2022.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2022,Oui,
BMW Serie 4 gran coupe,,Oui,14000.0,2021.0,Automatique,Essence,05-12-2024,11.0,3.0,,,2021,Oui,
PORSCHE Cayenne,260 000 Dhs,Oui,102000.0,2013.0,Automatique,Diesel,05-12-2024,,5.0,Blanc,,,Oui,
HYUNDAI Tucson,336 000 Dhs,,24000.0,2023.0,Automatique,Hybride,05-12-2024,9.0,,,,2023,,
FORD Transit,122 000 Dhs,,300000.0,2015.0,Manuelle,Diesel,05-12-2024,9.0,5.0,Blanc,Utilitaire(van),,Oui,
RENAULT Koleos,299 000 Dhs,,34000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,3.0,,,2021,Oui,
PORSCHE 911,990 000 Dhs,,79000.0,2017.0,Automatique,Diesel,05-12-2024,17.0,3.0,,,2017,Oui,
HYUNDAI Tucson,312 000 Dhs,,149000.0,2021.0,Automatique,Diesel,05-12-2024,6.0,,,,2021,,
LAND-ROVER Range rover evoque,290 000 Dhs,,99000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2019,,
VOLKSWAGEN Passat,49 000 Dhs,,349000.0,2000.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,2000,,
AUDI A7,159 000 Dhs,,249000.0,2011.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2011,,
JEEP Renegade,215 000 Dhs,,109000.0,2021.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2021,,
MERCEDES Cls,78 000 Dhs,,249000.0,2006.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2006,,
MINI Cooper,,,109000.0,2014.0,Manuelle,Essence,05-12-2024,11.0,3.0,,,2014,,
BMW X4,,,89000.0,2020.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2020,Oui,
FIAT 500,,,54000.0,2022.0,Automatique,Essence,05-12-2024,6.0,3.0,,,2022,Oui,
MERCEDES 280,,,349000.0,2007.0,Automatique,Essence,05-12-2024,17.0,5.0,,,2007,Oui,
AUDI Sq5,,,139000.0,2017.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2017,Oui,
MERCEDES Cla,,Oui,4000.0,2023.0,Automatique,Diesel,05-12-2024,8.0,,,,2023,,
MERCEDES Sl,,Oui,4000.0,2023.0,Automatique,Essence,05-12-2024,23.0,3.0,,,2023,Oui,
MERCEDES Classe s,,Oui,39000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
MERCEDES Classe c,,Oui,4000.0,2023.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2023,,
MERCEDES Classe g,,Oui,29000.0,2022.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2022,Oui,
VOLVO S60,379 000 Dhs,,74000.0,2021.0,Automatique,Hybride,05-12-2024,11.0,5.0,,,2021,Oui,
BMW Serie 7,499 000 Dhs,,84000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
AUDI Q5,420 000 Dhs,,129000.0,2021.0,,Diesel,05-12-2024,8.0,,,,2021,,
PEUGEOT 208,175 000 Dhs,,89000.0,2021.0,,Diesel,05-12-2024,6.0,,,,,,
FORD Kuga,242 000 Dhs,,54000.0,2022.0,,Diesel,05-12-2024,6.0,,,,2022,,
FORD Ranger,,,199000.0,2015.0,Automatique,Diesel,05-12-2024,9.0,3.0,,,2015,Oui,
NISSAN Juke,,,99000.0,2016.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2016,,
VOLKSWAGEN Golf 8,,,39000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
OPEL Astra,105 000 Dhs,,199000.0,2013.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2013,Oui,
OPEL Insignia,,,159000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2018,Oui,
DACIA Duster,168 000 Dhs,,119000.0,2019.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2019,,
OPEL Corsa,,,29000.0,2017.0,Manuelle,Diesel,05-12-2024,5.0,5.0,,,2017,Oui,
AUDI Rs-q3,,Oui,64000.0,2021.0,Automatique,Essence,05-12-2024,14.0,5.0,,,2021,Oui,
BMW X3,,,59000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
MERCEDES Classe c,,,74000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2021,Oui,
PORSCHE Macan,,,59000.0,2021.0,Automatique,Essence,05-12-2024,11.0,5.0,,,,Oui,
MERCEDES Classe c,,Oui,99000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,5.0,,Suvet4x4,2021,Oui,
NISSAN Juke,209 000 Dhs,,59000.0,2022.0,Automatique,Essence,05-12-2024,6.0,5.0,,,,Oui,
SSANGYONG Stavic,55 000 Dhs,,149000.0,2017.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,,Oui,
PEUGEOT Expert,169 000 Dhs,,94000.0,2019.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,,Oui,
FORD Autre,299 000 Dhs,,64000.0,2021.0,Automatique,Essence,05-12-2024,13.0,3.0,,,2021,Oui,
NISSAN Juke,,,109000.0,2016.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2016,,
DACIA Duster,,,99000.0,2019.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2019,Oui,
MERCEDES 220,,,159000.0,2018.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2018,Oui,
MERCEDES 220,190 000 Dhs,,190000.0,2013.0,Automatique,Diesel,05-12-2024,8.0,5.0,Blanc,Berline,2016,Oui,
AUDI Q8,1 220 000 Dhs,,,2023.0,Automatique,Diesel,05-12-2024,12.0,5.0,Grisfonce,Suvet4x4,,Oui,5Mois
BMW Serie 7,780 000 Dhs,,87000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,Autre,Berline,,Oui,
OPEL Crossland,160 000 Dhs,,148000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Blanc,,,Oui,
CHEVROLET Cmp,54 000 Dhs,,200000.0,2009.0,Manuelle,Essence,05-12-2024,5.0,3.0,Blanc,Pickup\u200b,,,1Mois
VOLKSWAGEN Touareg,,,44000.0,2022.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2022,Oui,
VOLKSWAGEN Tiguan,,,44000.0,2023.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2023,Oui,
AUDI Q5,,,64000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2018,Oui,
PEUGEOT 301,,,9000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2021,Oui,
TOYOTA Corolla cross,,,34000.0,2022.0,Automatique,Hybride,05-12-2024,9.0,5.0,,,2022,Oui,
VOLKSWAGEN Tiguan,,Oui,14000.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2024,Oui,
FORD Kuga,,Oui,14000.0,2021.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2021,Oui,
LAND-ROVER Range rover evoque,,,74000.0,2016.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2016,Oui,
VOLKSWAGEN Caddy,,,179000.0,2017.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2017,,
DS Ds7 crossback,,,129000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2018,Oui,
MERCEDES Classe e coupe,,,99000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2019,,
VOLVO Xc90,,,79000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2016,,
FIAT Tipo,135 000 Dhs,,79000.0,2019.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2019,Oui,
MERCEDES Classe a,400 000 Dhs,,119000.0,2019.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2019,,
VOLKSWAGEN Passat,190 000 Dhs,,129000.0,2017.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2017,Oui,
RENAULT Megane 4,193 000 Dhs,,54000.0,2020.0,Automatique,Diesel,05-12-2024,6.0,,,,2020,,
LAND-ROVER Range rover,386 000 Dhs,,119000.0,2015.0,Automatique,Diesel,05-12-2024,11.0,5.0,,,2015,,
BMW Serie 4 gran coupe,375 000 Dhs,,49000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,Gris,Berline,,Oui,
DACIA Sandero,125 000 Dhs,,78000.0,2019.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Grisclair,Citadine,,Oui,
FIAT 500,150 000 Dhs,,3000.0,2022.0,Automatique,Essence,05-12-2024,7.0,5.0,Gris,Micro-citadine,,Oui,
BMW Serie 3,205 000 Dhs,,78000.0,2014.0,Automatique,Diesel,05-12-2024,8.0,4.0,,Berline,,Oui,
HYUNDAI I30,,,,2022.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Noir,Compact,,,
HYUNDAI Kona,,,,2022.0,Manuelle,Essence,05-12-2024,11.0,5.0,Bleu,Crossover,,,
DACIA Dokker,84 000 Dhs,,140000.0,2018.0,Manuelle,Diesel,05-12-2024,4.0,4.0,Blanc,Cc,,,
LAND-ROVER Range rover sport,,,119000.0,2017.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2017,Oui,
VOLKSWAGEN Coccinelle,,,159000.0,2017.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2017,Oui,
MERCEDES Classe c,,,189000.0,2017.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2017,Oui,
VOLKSWAGEN Touareg,,,249000.0,2014.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2014,Oui,
VOLKSWAGEN Tiguan,,,159000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2018,Oui,
PEUGEOT 107,69 000 Dhs,,100000.0,2011.0,Manuelle,Essence,05-12-2024,6.0,4.0,Gris,Micro-citadine,,Oui,3Mois
VOLKSWAGEN Touareg,319 000 Dhs,,60000.0,2019.0,Automatique,Diesel,05-12-2024,11.0,4.0,Gris,Suvet4x4,,Oui,3Mois
MINI Cooper,,Oui,59000.0,2017.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2017,Oui,
RENAULT Kangoo,135 000 Dhs,,80000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Blanc,Utilitaire(minivan),,Oui,3Mois
CITROEN Berlingo,159 000 Dhs,,20000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Blanc,Utilitaire(minivan),,Oui,3Mois
MERCEDES Classe c,,Oui,70000.0,2017.0,Automatique,Diesel,05-12-2024,9.0,5.0,Grisclair,Berline,,Oui,
MERCEDES Cla,,,75000.0,2020.0,Automatique,Diesel,05-12-2024,9.0,5.0,Grisclair,Coupé,,Oui,
BMW X3,,,80000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,Bleumarine,Suvet4x4,,Oui,
VOLKSWAGEN Touareg,,,90000.0,2021.0,Automatique,Diesel,05-12-2024,12.0,5.0,Noir,Suvet4x4,,Oui,
AUDI Q5,,,110000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,Grisanthracite,Suvet4x4,2023,Oui,
CITROEN Ds4,,,29000.0,2023.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2023,Oui,
VOLKSWAGEN T-roc,315 000 Dhs,,64000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,5.0,Grisfonce,Suvet4x4,2021,Oui,3Mois
VOLVO Xc60,338 000 Dhs,Oui,64000.0,2020.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2020,Oui,
KIA Picanto,128 000 Dhs,Oui,64000.0,2022.0,Automatique,Essence,05-12-2024,6.0,5.0,,,2022,Oui,
AUDI A6,,Oui,94000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,,,,2022,Oui,
AUDI Q8,,Oui,109000.0,2021.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2021,Oui,
LAND-ROVER Range rover evoque,,,24000.0,2023.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2023,Oui,
PEUGEOT 208,,,109000.0,2021.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2021,Oui,
FORD Autre,,,44000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
SKODA Kodiaq,,,109000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,,,,2019,,
DACIA Logan,,,84000.0,2022.0,Manuelle,Diesel,05-12-2024,6.0,,,,2022,,
FIAT Doblo,,,64000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,,,,2020,Oui,
AUDI Q5,,,249000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,,,,2016,,
HYUNDAI Tucson,,,79000.0,2022.0,Automatique,Diesel,05-12-2024,6.0,,,,2022,Oui,
BMW Serie 7,,Oui,39000.0,2018.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2018,Oui,
AUDI Q8,,Oui,139000.0,2022.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2022,Oui,
AUDI A6,,,4000.0,2023.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2023,Oui,
LAND-ROVER Range rover evoque,,,14000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
JEEP Wrangler,,,59000.0,2021.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2021,Oui,
LAND-ROVER Range rover sport,,Oui,199000.0,2017.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2017,,
RENAULT Megane,,,109000.0,2017.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2017,,
RENAULT Clio,,,119000.0,2019.0,Manuelle,Essence,05-12-2024,6.0,3.0,,,2019,Oui,
SKODA Octavia,,Oui,89000.0,2020.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,2020,Oui,
RENAULT Clio,,,129000.0,2019.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2019,Oui,
ALFA-ROMEO Giulietta,,,149000.0,2015.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2015,,
PEUGEOT 508,,,179000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2016,,
TOYOTA C-hr,,,139000.0,2020.0,Automatique,Hybride,05-12-2024,6.0,5.0,,,2020,Oui,
FIAT Tipo,,,109000.0,2022.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2022,Oui,
CITROEN C3,,,74000.0,2019.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2019,,
MINI Cooper,172 000 Dhs,,59000.0,2017.0,Manuelle,Essence,05-12-2024,9.0,3.0,,,2017,Oui,
BMW X3,357 000 Dhs,,99000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2019,Oui,
MAZDA 3,170 000 Dhs,,49000.0,2021.0,Manuelle,Essence,05-12-2024,9.0,5.0,,,2021,Oui,
VOLKSWAGEN Touareg,377 000 Dhs,,109000.0,2020.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2020,Oui,
NISSAN Qashqai,185 000 Dhs,,74000.0,2015.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2015,Oui,
JEEP Grand cherokee,,,149000.0,2015.0,Automatique,Diesel,05-12-2024,11.0,5.0,,,2015,Oui,
MERCEDES Classe e,,,299000.0,2010.0,Automatique,Diesel,05-12-2024,10.0,5.0,,,2010,Oui,
RENAULT Clio,,Oui,109000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
VOLKSWAGEN Golf 7,,Oui,169000.0,2018.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2018,Oui,
AUDI Q8,,Oui,109000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
AUDI Rs6,,Oui,4000.0,2024.0,Automatique,Essence,05-12-2024,23.0,5.0,,,,Oui,
AUDI Rs6,,Oui,4000.0,2024.0,Automatique,Essence,05-12-2024,23.0,5.0,,,,Oui,
BENTLEY Bentayga,,Oui,4000.0,2024.0,Automatique,Hybride,05-12-2024,14.0,5.0,,,2024,Oui,
BENTLEY Bentayga,,Oui,4000.0,2024.0,Automatique,Hybride,05-12-2024,14.0,5.0,,,,Oui,
MERCEDES Classe g,,Oui,4000.0,2024.0,Automatique,Essence,05-12-2024,23.0,5.0,,,,Oui,
VOLKSWAGEN Passat cc,140 000 Dhs,,165000.0,2013.0,Automatique,Diesel,05-12-2024,8.0,5.0,Bleumarine,Cc,,Oui,12Mois
KIA Picanto,,,64000.0,2022.0,Automatique,Essence,05-12-2024,6.0,,,,2022,,
JEEP Grand cherokee,,,179000.0,2018.0,Automatique,Diesel,05-12-2024,12.0,3.0,,,2018,Oui,
VOLKSWAGEN Polo,,,149000.0,2014.0,Manuelle,Diesel,05-12-2024,5.0,,,,2014,,
RENAULT Clio,,,64000.0,2022.0,Manuelle,Essence,05-12-2024,6.0,,,,2022,,
VOLKSWAGEN Tiguan,228 000 Dhs,,189000.0,2015.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Suvet4x4,2015,Oui,
JEEP Cherokee,179 000 Dhs,,169000.0,2017.0,Automatique,Diesel,05-12-2024,8.0,5.0,Grisfonce,Suvet4x4,2017,,
OPEL Grandland,208 000 Dhs,,99000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Grisfonce,Suvet4x4,2021,,
VOLVO S60,164 000 Dhs,,149000.0,2016.0,Automatique,Diesel,05-12-2024,6.0,5.0,Blanc,Berline,2016,Oui,
KIA Sorento,94 000 Dhs,,199000.0,2011.0,Automatique,Diesel,05-12-2024,9.0,5.0,Noir,Coupé,2011,,
NISSAN Murano,43 000 Dhs,,199000.0,2009.0,Automatique,Essence,05-12-2024,20.0,5.0,Noir,Coupé,2009,Oui,
VOLVO S60,145 000 Dhs,Oui,169000.0,2016.0,Automatique,Diesel,05-12-2024,6.0,5.0,Blanc,Berline,2016,,
PEUGEOT 208,99 000 Dhs,Oui,94000.0,2016.0,Manuelle,Essence,05-12-2024,8.0,3.0,Grisclair,Coupé,2016,,
VOLKSWAGEN Touareg,99 000 Dhs,,199000.0,2010.0,Manuelle,Diesel,05-12-2024,10.0,5.0,Bleu,Berline,2010,,
SKODA Superb,123 000 Dhs,,199000.0,2015.0,Manuelle,Diesel,05-12-2024,8.0,5.0,Bleuclair,Berline,2015,,
MERCEDES Classe c,,,24000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
PORSCHE 911,,Oui,39000.0,2020.0,Automatique,Essence,05-12-2024,17.0,3.0,,,2020,Oui,
ROLLS-ROYCE Wraith,,Oui,64000.0,2018.0,Automatique,Essence,05-12-2024,34.0,5.0,,,2018,Oui,
LAND-ROVER Range rover sport,,,4000.0,2022.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2022,Oui,
BMW Serie 8 gran coupe,,Oui,9000.0,2022.0,Automatique,Essence,05-12-2024,25.0,5.0,,,2022,Oui,
MERCEDES Classe g,,Oui,4000.0,2022.0,Automatique,Essence,05-12-2024,23.0,5.0,,,2022,Oui,
SEAT Ateca,,,126000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Suvet4x4,,Oui,
ALFA-ROMEO Stelvio,,,151000.0,2019.0,Automatique,Diesel,05-12-2024,9.0,5.0,Bleumarine,Suvet4x4,,Oui,
AUDI Q5,,,151000.0,2020.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Suvet4x4,,Oui,
VOLKSWAGEN Arteon,,,169000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2019,Oui,
BMW X1,,,99000.0,2019.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2019,Oui,
HYUNDAI Tucson,,,89000.0,2019.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2019,Oui,
